title,year,language,genres,rt_score,rt_url,reason,source_list,classification_source,added_to_radarr,rt_review_count
The Emigrants,1972,Swedish,Drama,94,https://www.rottentomatoes.com/m/emigrants,Accepted: RT 94 meets threshold 85,oscars_best_picture,radarr_lookup,true,17
The Artist,2011,French,Romance|Comedy|Drama,95,https://www.rottentomatoes.com/m/the_artist,Accepted: RT 95 meets threshold 90,oscars_best_picture,radarr_lookup,true,321
Sentimental Value,2025,Norwegian,Drama,95,https://www.rottentomatoes.com/m/sentimental_value,Accepted: RT 95 meets threshold 80,oscars_best_picture,radarr_lookup,true,242
The Virgin Spring,1960,Swedish,Drama,88,https://www.rottentomatoes.com/m/virgin_spring,Accepted: RT 88 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,25
Through a Glass Darkly,1961,Swedish,Drama,100,https://www.rottentomatoes.com/m/through_a_glass_darkly,Accepted: RT 100 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,29
Investigation of a Citizen Above Suspicion,1970,Italian,Crime|Drama,100,https://www.rottentomatoes.com/m/investigation_of_a_citizen_above_suspicion,Accepted: RT 100 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,14
The Garden of the Finzi Continis,1971,Italian,Drama|War,94,https://www.rottentomatoes.com/m/garden_of_the_finzi_continis,Accepted: RT 94 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,16
The Discreet Charm of the Bourgeoisie,1972,French,Comedy,98,https://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie,Accepted: RT 98 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,60
Day for Night,1973,French,Comedy|Drama|Romance,98,https://www.rottentomatoes.com/m/day_for_night_1973,Accepted: RT 98 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,40
Amarcord,1974,Italian,Comedy|Drama,88,https://www.rottentomatoes.com/m/amarcord,Accepted: RT 88 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,49
Fanny and Alexander,1983,Swedish,Drama,100,https://www.rottentomatoes.com/m/fanny_and_alexander,Accepted: RT 100 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,46
The Official Story,1985,Spanish,Drama,100,https://www.rottentomatoes.com/m/official_story,Accepted: RT 100 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,13
Babette's Feast,1987,Danish,Comedy|Drama,97,https://www.rottentomatoes.com/m/babettes_feast,Accepted: RT 97 meets threshold 85,oscars_best_international_winners,radarr_lookup,true,33
Journey of Hope,1990,German,Drama,83,https://www.rottentomatoes.com/m/journey_of_hope_1990,Accepted: RT 83 meets threshold 80,oscars_best_international_winners,radarr_lookup,true,6
Mediterraneo,1991,Italian,Comedy,80,https://www.rottentomatoes.com/m/mediterraneo,Accepted: RT 80 meets threshold 80,oscars_best_international_winners,radarr_lookup,true,15
Kolya,1996,Czech,Comedy|Drama,96,https://www.rottentomatoes.com/m/kolya,Accepted: RT 96 meets threshold 80,oscars_best_international_winners,radarr_lookup,true,25
Farewell My Concubine,1993,Chinese,Drama|LGBTQ+,90,https://www.rottentomatoes.com/m/farewell_my_concubine,Accepted: RT 90 meets threshold 80,palme_dor,radarr_lookup,false,52
